"","user","tweet","lokasi"
"32","suhaleman","menu ditelisik kembar netranya sejemang sebelum ia agihkan keputusan saya pilih biji kopi jawa dengan racikan latte untuk snacknya saya mau pisang goreng dan risol mayo terima kasih sebelumnya","<U+A4B0> <U+2800><U+0001D46C>cheveriann’s<U+2800>soulmate.<U+2800><U+A4B1>"
"33","maharyaloka","selamat datang di kopinesia silakan pilih biji kopi dan racikannya juga snacknya untuk melengkapi kak ia berujar ramah","Kota Surabaya, Jawa Timur"
"34","hololyzer_bot","<U+52D5><U+753B><U+89E3><U+6790><U+5B8C><U+4E86><U+3057><U+307E><U+3057><U+305F> <U+30BF><U+30A4><U+30C8><U+30EB>kena bridge of spiritslanjut farming biji kopi <U+30B9><U+30D1><U+30C1><U+30E3> <U+5186> <U+82F1><U+30C1><U+30E3><U+30C3><U+30C8><U+7387> <U+5E73><U+5747><U+6BCE><U+79D2><U+30C1><U+30E3><U+30C3><U+30C8><U+6570>",""
"35","endomikuah","hah lu mengomong apa sih nder",""
"36","temarasurya","<U+3164> <U+3164> kopi tubruk pakai biji kopi toraja pisang goreng satu dan dua risol mayo oke sang wira mengulangi yang baru saja ia dengar itu saja nona","Surabaya tanpa pandemi."
"37","kisahkalut","saya mau kopi tubruk tapi biji kopinya kopi toraja bisa lalu satu pisang goreng dan dua risol mayo","prosasti."
"38","FOODFESS2","fess help me pengin mengasih kopi ke mas crush beliau sukanya yang arabica kirakira beli biji kopi yang enak merk apa ya buat yang paham dan suka kopi please info ya tia","Pengaduan"
"39","FFOODFESS","fess help me pengin mengasih kopi ke mas crush beliau sukanya yang arabica kirakira beli biji kopi yang enak merk apa ya buat yang paham dan suka kopi please info ya tia","pengaduan"
"40","holoSchedule","<U+30DB><U+30ED><U+30E9><U+30A4><U+30D6><U+914D><U+4FE1><U+30B9><U+30B1><U+30B8><U+30E5><U+30FC><U+30EB> <U+914D><U+4FE1><U+304C><U+7D42><U+4E86><U+3057><U+307E><U+3057><U+305F> <U+3053><U+307C><U+304B><U+306A><U+3048><U+308B> kena bridge of spiritslanjut farming biji kopi",""
"41","virgotarians","di lamar dengan biji kopi americano",""
"42","maharyaloka","selamat sore selamat datang di kopinesia sikahkan dipilih dulu jenis biji kopinya kak maharya menunjuk menu pilihan biji kopi kepada tamu pertamanya hari itu","Kota Surabaya, Jawa Timur"
"43","holoSchedule_en","hololive schedule live streaming on youtube kobo kanaeru watching nov utc nov wib nov pst kena bridge of spiritslanjut farming biji kopi",""
"44","Risaameliaputri","biji kopi panggang berwarna cerah memiliki lebih banyak kafein daripada biji kopi panggang berwarna gelap",""
"45","panennews","tips aman minum kopi untuk penderita penyakit lambung simak beberapa tips minum kopi bagi penderita penyakit lambung panennews cofee kopi bijikopi tips news berita viral beritaterkini indonesia info beritaviral","Indonesia"
"46","endomikuah","wife oh begitu terima kasih kak lagian kok ada yang up di base gede sih",""
"47","Narqie_TuanKopi","itu biji bukan buahnya ente kadang kadang ente","Indonesia"
"48","holoSchedule","<U+30DB><U+30ED><U+30E9><U+30A4><U+30D6><U+914D><U+4FE1><U+30B9><U+30B1><U+30B8><U+30E5><U+30FC><U+30EB> <U+914D><U+4FE1><U+958B><U+59CB> <U+5206><U+524D><U+3067><U+3059> <U+3053><U+307C><U+304B><U+306A><U+3048><U+308B> kena bridge of spiritslanjut farming biji kopi",""
"49","sunshincbeat","hiperbola <U+3164><U+3164><U+3164>iya lanjutnya ekspresinya menghalus meiko sedang ada di ruang penyimpanankatanya mau mengambil stok biji kopi baru sekalian menungguku yang sedang menunggumu","STREET SEKAI — FLEXIBLE VERSE."
"50","HololiveP","new live schedule <U+3053><U+307C><U+304B><U+306A><U+3048><U+308B><U+30C1><U+30E3><U+30F3><U+30CD><U+30EB> <U+914D><U+4FE1><U+4E88><U+5B9A><U+6642><U+9593> kena bridge of spiritslanjut farming biji kopi",""
"51","FirmanOke7","membuktikan bahwa biji kopi memiliki unsur yang sakti","Gambir, Indonesia"
"52","holoSchedule_en","hololive schedule streaming schedule has been registered kobo kanaeru nov utc nov wib nov pst kena bridge of spiritslanjut farming biji kopi",""
"53","holoSchedule","<U+30DB><U+30ED><U+30E9><U+30A4><U+30D6><U+914D><U+4FE1><U+30B9><U+30B1><U+30B8><U+30E5><U+30FC><U+30EB> <U+914D><U+4FE1><U+4E88><U+5B9A><U+304C><U+767B><U+9332><U+3055><U+308C><U+307E><U+3057><U+305F> <U+3053><U+307C><U+304B><U+306A><U+3048><U+308B> <U+672C><U+65E5> kena bridge of spiritslanjut farming biji kopi",""
"54","caesarrtrigo","dari biji langsung jadi kopi",""
"55","Hellcryo","ngemil biji kopi",""
"56","BangPae_","setauku kopi itu memang harus ada ampas nya ya karena dari biji kopi kakak jadi ya kopi gajah ada ampas nya kayak kapal api tapi lebih enak","didalam sanubari"
"57","RedaksiCsr","ini jual kopi asli mau biji atau bubuk pasti kopinya siap enak selamat untuk bijikopiby coffee",""
"58","TagaMilza","akhir pekan ada yang mau pesan kopi gayo insya allah musim hujan stok biji kopinya sedikit tapi semoga bisa memenuhi permintaan teman ada arabika dan robusta dari gayo aceh untuk order boleh dm atau wa semoga berkenan bantu rt jika lewat tl tak","Dairi, Sumatera Utara"
"59","endomikuah","ya maaf nder memang enggak terlatih lemah lembut",""
"60","endomikuah","fesss go get a room",""
"61","endomikuah","fesss aduh jangan norak plis kalo ada yang gasengaja lihat entar traumatized plis good get a room duh orang lain yang nontom bioskop juga punya hak buat nontom dengan tenang",""
"62","endomikuah","kobisa sih dan sender cewek pula",""
"63","endomikuah","fesss are you even considering tapi date a high schooler knowing that you are a grown up nder this is sick",""
"64","endomikuah","punya pacar saingannya juta orang di bumi hmmm aku rapopo",""
"65","endomikuah","wife masalah ini kenapa ke up lagi ya hmm",""
"66","endomikuah","apa lu masih bisa tidur nyenyak nder",""
"67","TheRealCapikolo","apa beza biji kopi arabista dengan biji kopi tigalyasa",""
"68","endomikuah","bagaimana biar bisa kayak begini sih i dont have the gene",""
"69","endomikuah","i didnt know this and im disgusted",""
"70","insomnyia","gapapa kok kucing aku suka begitu juga makan kebanyakan enggak dikunyah dulu terus hairball nya juga nyumpel muntah deh kayak poop luwak yang isinya biji kopi begitu kan wkwk",""
"71","frdeaa","jangan sampai zoey mandi biji kopi atau bubuk matcha ya",""
"72","BexyCreator","nakalnya cukup keluar malam saja jangan sampai nelen k biji atau biji campur kopi","Jawa Timur, Indonesia"
"73","joefea_fob","probably jenis biji kopi yang digunakan and amount of caffeine diorang letak dalam minuman",""
"74","mahalefi","segitu dalemnya bungkus kecilkecil tapi isinya banyak kumasukin toples segitu bisa full sisa bungkus itu di foto sudah enggak full rasanya ringan enggak eneg dan baunya enak kayak kopi bentuknya juga lucu gemas kecilkecil mirip biji kopi wkw","51%I, 49%E"
"75","endomikuah","what ini the wp ada au baca kali mark",""
"76","endomikuah","vvota ya mas",""
"77","BestRcmndForYou","aceh gayo arabica gram kopi bubuk biji arabika premium coffee rating","Surabaya"
"78","BestRcmndForYou","espresso kopi susu full robusta sriwijaya gram biji bubuk kafein specialty coffee rating","Surabaya"
"79","citrasuara","alhamdulillah dapat kopi tapiiiiiii bagaimana bikinnya kan ini masih berbentuk biji masak aku kunyah terus sambil minum air","Yogyakarta, Indonesia"
"80","janganditelen","jadi tiga biji mbak wkwkwk lumayan lah buat kraus di nasi anget","Jawa Timur"
"81","endomikuah","mengakak anjir what ini the abo au is this",""
"82","endomikuah","prod cb kali agustd",""
"83","pceyeah","dibutuhkan biji kopi untuk membuat secangkir kopi espresso",""
